West Gas	
Sep 2001 YTD	
By Team	
Originator	Commodity	Team	Revised Total	%Total	Original Total	Variance	
Transport Model (84 to 87)	5/16/01	NWPL	West Gas	GD-NEW	Lucci	  4,000,000 	
various	4/4/01	various	West Gas	FT-Denver	Lucci	  1,440,611 	
V03636.1	3/29/01	Greenley Gas	West Gas	FT-Denver	Lucci	  300,000 	
VQ1094.1	7/20/01	Devon	West Gas	FT-Denver	Lucci	  280,600 	
V54329.1	4/24/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  57,485 	
848169/VG8224	6/13/01	BP Corportaion	West Gas	GD-NEW	Lucci	  54,600 	
VF4941	6/7/01	Texaco Natural Gas, Inc.	West Gas	FT-Denver	Lucci	  50,000 	
QO6003/549652	1/30/01	Cross Timbers Energy Services	West Gas	GD-NEW	Lucci	  45,625 	
V54334.1	4/24/01	PSCO	West Gas	FT-Denver	Lucci	  45,544 	
1060325	9/26/01	Retex Inc.	West Gas	Denver	Lucci	  42,532 	
VQ0724.1	7/20/01	retex	West Gas	FT-Denver	Lucci	  41,850 	
1020432	8/30/2001	CMS Field Services	West Gas	Denver	Lucci	  40,875 	
QC5965	6/27/01	Citizens	West Gas	FT-Denver	Lucci	  40,000 	
VU0927	8/6/2001	Sempra	West Gas	WC-ROX	Lucci	  37,195 	
Y46735.1	9/25/01	Devon Energy	West Gas	Denver	Lucci	  36,000 	
VJ6828	6/25/01	CMS Field Services	West Gas	FT-Denver	Lucci	  30,225 	
QT5145	2/23/01	Dominion E&P	West Gas	GD-NEW	Lucci	  29,960 	
812673	5/30/01	CMS	West Gas	FT-Denver	Lucci	  22,500 	
VB4113	5/22/01	Western Gas	West Gas	GD-NEW	Lucci	  19,795 	
QS7610.1	2/20/01	Oneok Energy Marketing and Trade	West Gas	FT-Denver	Lucci	  19,500 	
N48252.6	2/26/01	Phillips	West Gas	FT-Denver	Lucci	  18,240 	
QM9162.1	1/23/01	Howell Petroleum	West Gas	FT-Denver	Lucci	  17,608 	
882385	6/27/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  16,136 	
882387	6/27/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  15,594 	
VJ6780	6/25/01	EJW Family	West Gas	FT-Denver	Lucci	  13,434 	
1019836	8/30/2001	Kennedy Oil	West Gas	Denver	Lucci	  13,416 	
NA4410	5/17/01	Sinclair Oil	West Gas	NG-Price	Lucci	  10,755 	
VK9218	6/28/01	SINCLAIR OIL CO.	West Gas	FT-Denver	Lucci	  10,464 	
646238	2/28/01	Coleman Oil & Gas	West Gas	FT-Denver	Lucci	  9,920 	
VQ0740.1	7/20/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  9,300 	
696765	3/28/01	Excelon Energy	West Gas	FT-Denver	Lucci	  8,395 	
946992	7/26/01	Wellstar	West Gas	FT-Denver	Lucci	  8,198 	
696653	3/28/01	EJW	West Gas	FT-Denver	Lucci	  8,088 	
V54341.1	4/24/01	KN Retail Gas Services	West Gas	FT-Denver	Lucci	  7,743 	
VJ1275	6/22/01	BP Corportaion	West Gas	FT-Denver	Lucci	  7,402 	
933450	7/20/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  7,068 	
VQ0810.1	7/24/01	EJW Family	West Gas	FT-Denver	Lucci	  6,929 	
VB5063	5/23/01	EJW Family	West Gas	FT-Denver	Lucci	  6,741 	
V54336.1	4/24/01	EJW Family	West Gas	FT-Denver	Lucci	  6,564 	
881871	6/27/01	North Finn	West Gas	FT-Denver	Lucci	  6,473 	
VB4034	5/22/01	Western Gas	West Gas	GD-NEW	Lucci	  6,368 	
Y52684	9/26/01	Sinclair Oil	West Gas	Denver	Lucci	  6,200 	
752984	5/11/01	Sinclair Oil	West Gas	FT-Denver	Lucci	  6,200 	
VR6045.1	7/26/01	JM Huber	West Gas	W-Keystone	Lucci	  6,045 	
877537	6/25/01	Western Gas Resources Inc.	West Gas	MGMT-WEST	Lucci	  6,011 	
Y52521	9/28/01	Kennedy Oil	West Gas	Denver	Lucci	  5,675 	
594754	1/30/01	Oneok Gas Marketing	West Gas	FT-Denver	Lucci	  5,600 	
VT5633/965089/967236	8/3/2001	Northwest Natural Gas	West Gas	WC-ROX	Lucci	  5,398 	
VX6932.1	8/22/2001	Dominion	West Gas	Denver	Lucci	  5,255 	
646366	2/28/01	Millennium Gas Mkt.	West Gas	FT-Denver	Lucci	  5,099 	
VD9575	6/27/01	Citizens	West Gas	FT-Denver	Lucci	  5,000 	
881971	6/27/01	Citation	West Gas	FT-Denver	Lucci	  4,883 	
754222	5/11/01	Rainbow Gas	West Gas	FT-Denver	Lucci	  4,808 	
QO0903.1	1/29/01	Unicomene	West Gas	FT-Denver	Lucci	  4,702 	
888924	6/28/01	JM Huber	West Gas	MGMT-WEST	Lucci	  4,650 	
QJ9240	1/5/01	Cenex	West Gas	GD-NEW	Lucci	  4,280 	
VZ8382.1	8/29/2001	EJW Family	West Gas	Denver	Lucci	  3,833 	
Y46280.1-3	9/6/01	Patina Oil & Gas	West Gas	Denver	Lucci	  3,775 	
VQ0751.1	7/20/01	Kennedy Oil	West Gas	FT-Denver	Lucci	  3,757 	
696648	3/28/01	Colorado Spring Utilities	West Gas	FT-Denver	Lucci	  3,750 	
816251	5/31/01	Teal Ridge Energy	West Gas	GD-New	Lucci	  3,735 	
VZ8297.1	8/29/2001	EJW Family	West Gas	Denver	Lucci	  3,150 	
QT5305.1	2/23/01	Burlington Resources	West Gas	FT-Denver	Lucci	  3,100 	
592174	1/30/01	Oxy Usa	West Gas	GD-NEW	Lucci	  3,024 	
592184	1/30/01	Millenium Gas Marketing	West Gas	GD-NEW	Lucci	  3,024 	
699630	3/28/01	dominion	West Gas	FT-Denver	Lucci	  3,000 	
812667	5/30/01	Retex	West Gas	FT-Denver	Lucci	  3,000 	
QM9097.1	1/23/01	Relient Energy Services, Inc.	West Gas	FT-Denver	Lucci	  2,796 	
870843	6/22/01	FT-Central	West Gas	FT-Denver	Lucci	  2,480 	
753000	5/11/01	excelon energy	West Gas	FT-Denver	Lucci	  2,330 	
1019838	8/30/2001	Kennedy Oil	West Gas	Denver	Lucci	  2,166 	
1019874	8/30/2001	North Finn	West Gas	Denver	Lucci	  2,038 	
Y44368	9/25/01	Devon Energy	West Gas	Denver	Lucci	  2,007 	
999833	8/22/2001	Dominion	West Gas	Denver	Lucci	  1,923 	
Y46764	9/20/01	Sinclair Oil	West Gas	Denver	Lucci	  1,800 	
803601	5/22/01	Western Gas	West Gas	GD-NEW	Lucci	  1,798 	
754337	5/11/01	Dominion E&P	West Gas	FT-Denver	Lucci	  1,777 	
881204	6/26/01	IM-Mid Central South	West Gas	FT-Denver	Lucci	  1,748 	
755897	4/26/01	Western Gas Resources	West Gas	GD-NEW	Lucci	  1,550 	
699932	3/29/01	western gas resources	West Gas	FT-Denver	Lucci	  1,500 	
V89671	5/10/01	E prime	West Gas	MGMT-WEST	Lucci	  1,500 	
QN8907.1	1/26/01	EJW Family Ltd	West Gas	FT-Denver	Lucci	  1,222 	
1019854	8/30/2001	Citation	West Gas	Denver	Lucci	  1,181 	
VZ5048.1	8/29/2001	Exelon	West Gas	Denver	Lucci	  1,053 	
VJ6799	6/25/01	Excelon	West Gas	FT-Denver	Lucci	  1,048 	
various	9/26/01	Exelon Inc.	West Gas	Denver	Lucci	  775 	
1019687	8/30/2001	WA Moncrief	West Gas	Denver	Lucci	  750 	
QM9512	1/23/01	E-prime	West Gas	GD-NEW	Lucci	  700 	
Y467661-2	9/20/01	Sinclair Oil	West Gas	Denver	Lucci	  620 	
888775	6/28/01	El Paso	West Gas	FT-Denver	Lucci	  620 	
QN4987.1	1/25/01	Patina Oil & Gas	West Gas	FT-Denver	Lucci	  420 	
QN6164.1	1/25/01	Marathon Oil & Gas	West Gas	FT-Denver	Lucci	  420 	
VJ6814	6/25/01	Burlington Resources	West Gas	FT-Denver	Lucci	  310 	
QN6053.1	1/25/01	Westport Oil & Gas	West Gas	FT-Denver	Lucci	  206 	
