West Gas	
Sep 2001 YTD	
By Team	
Originator	Commodity	Team	Revised Total	%Total	Original Total	Variance	
QY3799	3/22/01	Smurfet	West Gas	GD-NEW	Ward	  11,250 	
6369993/V49670.2	5/17/01	Smurfit-Stone Container Corporation	West Gas	GD-NEW	Ward	  11,250 	
y07625	8/31/2001	Bonneville Fuels Corp.	West Gas	Options	Ward	  10,950 	
NB3939.3	9/26/01	Houston Energy Ser	West Gas	Ng-Price	Ward	  10,000 	
VH6422	6/15/01	Palo Alto	West Gas	Ng-price	Ward	  9,257 	
QS5478.N	4/5/01	CITIZENS	West Gas	NG-Price	Ward	  9,167 	
VH6422	6/15/01	Palo Alto	West Gas	Ng-price	Ward	  8,850 	
QS5478.S	4/17/01	Citizens 	West Gas	NG-Price	Ward	  8,608 	
VH6422	8/14/2001	CITY OF PALO ALTO (UNWINDS)	West Gas	WC-CAL	Ward	  8,491 	
826044	6/1/01	AES New Energy	West Gas	GD-NEW	Ward	  7,800 	
VY2649	8/23/2001	Palo Alto	West Gas	Ng-Price	Ward	  7,460 	
VE1190	6/1/01	Pasadena	West Gas	Ng-price	Ward	  7,319 	
Y60506	9/18/01	Hesco	West Gas	Ng-price	Ward	  7,300 	
6	5/2/01	City of Pasadena (May Transport)	West Gas	GD-NEW	Ward	  6,780 	
QS5478.k	3/30/01	Citizens	West Gas	NG	Ward	  6,700 	
609214/725150	4/11/01	City of Pasadena(addition to overage granted 3/29/01)	West Gas	GD-NEW	Ward	  6,561 	
QN0023	1/23/01	Pasadena	West Gas	NG	Ward	  6,388 	
VH0003	6/13/01	Pala Alto	West Gas	Ng-price	Ward	  5,951 	
VH0023	6/13/01	Pala Alto	West Gas	Ng-price	Ward	  5,687 	
EU8529.Y	7/26/01	Citizen	West Gas	Ng-Price	Ward	  5,650 	
VH6425	6/15/01	EOTT	West Gas	Ng-price	Ward	  4,706 	
Y63300	9/24/01	SMURFIT	West Gas	WC-CAL	Ward	  4,647 	
VX2253	8/20/2001	Smurfit	West Gas	WC-CAL	Ward	  4,495 	
QM2330.1	1/19/01	Citizen	West Gas	NG	Ward	  4,438 	
VJ6484	6/25/01	Pasadena	West Gas	Ng-price	Ward	  3,670 	
601	6/1/01	City of Pasadena (Transport for June)	West Gas	GD-NEW	Ward	  3,645 	
VB9822	5/24/01	AES	West Gas	NG-Price	Ward	  3,569 	
QS5478.j	3/29/01	Citizens	West Gas	NG	Ward	  3,500 	
QS5478	4/5/01	CITIZENS	West Gas	NG-Price	Ward	  3,400 	
VF5113	6/7/01	Hesco	West Gas	Ng-price	Ward	  3,021 	
EU8529	2/16/01	Citizens	West Gas	NG	Ward	  3,000 	
895696/VL5882	7/2/01	Arizona Public Service Company	West Gas	W-Keystone	Ward	  2,900 	
QS5478	3/22/01	Citizens	West Gas	NG	Ward	  2,800 	
Y60671	9/24/01	HESCO	West Gas	WC-CAL	Ward	  2,705 	
QS5478.V	4/26/01	Citizens	West Gas	NG-Price	Ward	  2,125 	
QS5478.Q	4/11/01	Citizens (Daily/Tom)	West Gas	GD-NEWJR	Ward	  2,049 	
VH5919	6/15/01	AES New Energy	West Gas	Ng-price	Ward	  1,562 	
VK6828.1	6/27/01	AES New Energy	West Gas	GD-NEW	Ward	  1,550 	
VB0897.1	5/21/01	APS	West Gas	NG-Price	Ward	  1,500 	
QS5478	4/3/01	Citizen	West Gas	NG-Price	Ward	  1,451 	
Y64404	9/24/01	AES	West Gas	Ng-price	Ward	  1,350 	
VPP5162	7/20/01	Citizen	West Gas	Ng-Price	Ward	  1,179 	
EU8529.Y	7/30/01	Citizen	West Gas	Ng-Price	Ward	  1,130 	
VI2407	6/19/01	AES New Energy	West Gas	Ng-price	Ward	  1,042 	
943821	7/25/01	AES/NEW ENERGY	West Gas	GD-NEW	Ward	  1,000 	
Y64519	9/26/01	Houston Energy Ser	West Gas	Ng-Price	Ward	  1,000 	
QS5478	4/3/01	Citizen	West Gas	NG-Price	Ward	  999 	
QS5478	4/5/01	CITIZENS	West Gas	NG-Price	Ward	  850 	
Y58619	9/24/01	HESCO	West Gas	WC-CAL	Ward	  811 	
QS5478.R	4/16/01	Citizens (Daily/Tom)	West Gas	GD-NEWJR	Ward	  756 	
581463	3/29/01	City of Pasadena	West Gas	Gd-new	Ward	  729 	
VP5162	7/31/01	Citizen	West Gas	Ng-Price	Ward	  715 	
QS5478.W	5/3/01	Citizens Communications	West Gas	NG-Price	Ward	  660 	
VU4464	8/7/2001	BONNENLLE	West Gas	OPTIONS	Ward	  610 	
EU8529.V	2/14/01	Citizines	West Gas	FT-WEST	Ward	  546 	
QS5478.W	5/3/01	Citizens Communications	West Gas	GD-NEWJR	Ward	  339 	
VY4900	8/24/2001	Palo Alto	West Gas	Ng-Price	Ward	  322 	
VY4865	8/24/2001	Palo Alto	West Gas	Ng-Price	Ward	  317 	
895226/VL5439	7/2/01	City of Pasadena	West Gas	GD-NEW	Ward	  290 	
943828	7/25/01	AES/NEW ENERGY	West Gas	GD-NEW	Ward	  275 	
VY9800	8/27/2001	National Fuel	West Gas	Ng-Price2	Ward	  263 	
EU8529.V	2/14/01	Citizines	West Gas	GD-NEW	Ward	  255 	
EU8529.V	2/14/01	Citizines	West Gas	NG	Ward	  217 	
WM0101/898700	7/6/01	City of Mesa	West Gas	GD-NEW	Ward	  - 0 	
VP5162	7/25/01	Citizen	West Gas	Ng-Price	Ward	  - 0 	
107321-04	7/27/01	Pasadena	West Gas	GD-NEW	Ward	  - 0 	
VS5060	7/30/01	Arizona Public Service Co.	West Gas	GD-NEWJR	Ward	  - 0 	
VW5421	8/16/2001	AES	West Gas	Ng-Price	Ward	  - 0 	
VZ4467	8/28/2001	Smud	West Gas	Ng-Pirce	Ward	  - 0 	
VZ6029	8/29/2001	National Fuel	West Gas	Ng-price	Ward	  - 0 	
Y60633	9/17/01	National Fuels	West Gas	Ng-Price2	Ward	  - 0 	
Y61949	9/18/01	Penn Virginia Oil & Gas Corp	West Gas	WC-PERM	Ward	  - 0 	
Y61949	9/18/01	Penn Virginia Oil & Gas Corp	West Gas	WC-PERM	Ward	  - 0 	
Y61958	9/19/01	Arizona Public Service Co.	West Gas	WC-PERM	Ward	  - 0 	
Y65288	9/19/01	AES	West Gas	ng-price	Ward	  - 0 	
Y64826	9/25/01	AES	West Gas	Ng-Price	Ward	  - 0 	
Y64519	9/26/01	National Fuels	West Gas	Ng-Price	Ward	  - 0 	
QM2330.1	1/19/01	Citizen	West Gas	NG	Ward	  - 0 	
QN0023	1/23/01	Pasadena	West Gas	NG	Ward	  - 0 	
QN0119	1/23/01	Pasadena	West Gas	NG	Ward	  - 0 	
QN0191	1/23/01	Pasadena	West Gas	NG	Ward	  - 0 	
QN5418	1/25/01	AKZO NOBLE	West Gas	GD-NEW	Ward	  - 0 	
QN5519	1/25/01	CROSS TIMBERS	West Gas	GD-NEW	Ward	  - 0 	
EU8529.T	2/12/01	Citizens	West Gas	NG	Ward	  - 0 	
EU8529.T	2/12/01	Citizens	West Gas	NG	Ward	  - 0 	
QS5478.A	3/13/01	Citizens	West Gas	FT-WEST	Ward	  - 0 	
V39711	4/17/01	Palo Alto	West Gas	NG-Price	Ward	  - 0 	
V79713	4/17/01	Palo Alto	West Gas	NG-Price	Ward	  - 0 	
V39741	4/17/01	Palo Alto	West Gas	NG-Price	Ward	  - 0 	
QS5478.S	4/17/01	Citizens	West Gas	NG-Price	Ward	  - 0 	
V50299.1/745696	4/23/01	Arizon Public Service Company	West Gas	GD-NEW	Ward	  - 0 	
QS5478.T	4/24/01	Citizens	West Gas	GD-NEW	Ward	  - 0 	
QS5478.U	4/26/01	Citizens	West Gas	NG-Price	Ward	  - 0 	
QS5478.V	4/26/01	Citizens	West Gas	NG-Price	Ward	  - 0 	
V98141	5/15/01	Arizona Public Service	West Gas	FT-TEXAS	Ward	  - 0 	
V97927.1	5/15/01	Arizona Public Service	West Gas	GD-NEWJR	Ward	  - 0 	
VA0763.1	5/16/01	Arizona Public Service	West Gas	GD-NEW	Ward	  - 0 	
VE1156	6/1/01	Elpaso Electric	West Gas	Ng-price	Ward	  - 0 	
VE1190	6/1/01	Pasadena	West Gas	Ng-price	Ward	  - 0 	
VF2203	6/6/01	Pasadena	West Gas	Ng-price	Ward	  - 0 	
VF5113	6/7/01	Hesco	West Gas	Ng-price	Ward	  - 0 	
VH0003	6/13/01	Pala Alto	West Gas	Ng-price	Ward	  - 0 	
VH0023	6/13/01	Pala Alto	West Gas	Ng-price	Ward	  - 0 	
VH5919	6/15/01	AES	West Gas	Ng-price	Ward	  - 0 	
VH6425	6/15/01	EOTT	West Gas	Ng-price	Ward	  - 0 	
VH6422	6/15/01	Pala Alto	West Gas	Ng-price	Ward	  - 0 	
VH6422	6/15/01	Palo Alto	West Gas	Ng-price	Ward	  - 0 	
VI2407	6/19/01	AES	West Gas	Ng-price	Ward	  - 0 	
VJ6484	6/25/01	Pasadena	West Gas	Ng-price	Ward	  - 0 	
VK5156	6/27/01	AES	West Gas	Ng-price	Ward	  - 0 	
VK6792.1	6/27/01	AES New Energy	West Gas	GD-NEW	Ward	  - 0 	
VK5156	6/27/01	AES	West Gas	Ng-price	Ward	  - 0 	
V10337	4/2/01	Mercado Gas	West Gas	NG-Price	Ward	  - 0 	
NF1164.E	4/2/01	Mercado Gas	West Gas	NG-Price	Ward	  - 0 	
NF1164. F	4/2/01	Mercado Gas	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/3/01	Citizen	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/3/01	Citizen	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/4/01	Citizen	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/5/01	Citizen	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/5/01	Citizen	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/5/01	Citizen	West Gas	NG-Price	Ward	  - 0 	
QS5478	4/11/01	Citizens	West Gas	NG-Price	Ward	  - 0 	
VH6423	8/14/2001	CITY OF PALO ALTO (UNWINDS)	West Gas	Ng-Price	Ward	  (37,197)	
VH6424	8/14/2001	CITY OF PALO ALTO (UNWINDS)	West Gas	FT-WEST	Ward	  (88,505)	
Ward Total	  2,097,474 	
Transport Model (84 to 87)	5/16/01	NWPL	West Gas	GD-NEW	Whitt	  8,000,000 	
QT5176	2/23/01	AEC Marketing	West Gas	GD-NEW	Whitt	  2,315,118 	
NB3995.3	9/25/01	TP-FT-Denver: Decrease Med. Bow Vol.	West Gas	Denver	Whitt	  1,045,000 	
QT5176	2/23/01	aec marketing	West Gas	FT-NWEST	Whitt	  197,820 	
Kern/Socal Trans Demand reduction	7/12/01	Kern Demand reduction	West Gas	GD-NEW	Whitt	  125,272 	
V4234	5/25/01	Cannon Interests- Houston	West Gas	GD-NEW	Whitt	  24,452 	
692959	3/28/01	Kennedy	West Gas	FT-Denver	Whitt	  18,900 	
NB3939.3	9/19/01	Phillips	West Gas	WT-CAL	Whitt	  - 0 	
NB3995.3	9/25/01	Phillips	West Gas	Denver	Whitt	  - 0 	
Whitt Total	  11,726,562 	
Grand Total	  49,571,202 	
